_051120_184153_RSLT.csv,,,,,,,,,,,,,,,,,,,
TARGET LOAD,,0.050000001,0.099999994,0.149999991,0.199999988,0.249999985,0.299999982,0.349999994,0.399999976,0.449999988,0.5,0.549999952,0.599999964,0.649999976,0.699999988,0.74999994,0.799999952,0.849999964,0.899999976
TARGET LOAD,,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9
SIM TIME (sec),,45.34456079,23.58056754,16.34404441,11.98640634,9.517977645,7.954717153,6.784883826,6.010746399,5.06964557,4.770886344,4.626866126,4.595554363,4.535890063,4.327480521,4.30863424,4.252891969,4.17790304,4.118852491
ONU LOAD,,0.058409266,0.112347684,0.161986648,0.220741985,0.278416318,0.333624583,0.389839016,0.44004971,0.521087788,0.554645421,0.63264171,0.672979411,0.718924014,0.786945371,0.805132516,0.840572493,0.91488848,0.943573846
OFFERED LOAD,,0.093454826,0.179756295,0.259178637,0.353187176,0.44546611,0.533799333,0.623742426,0.704079536,0.83374046,0.887432674,1.012226737,1.076767058,1.150278422,1.259112594,1.288212025,1.344915989,1.463821567,1.509718153
CARRIED LOAD,,0.093454773,0.179755889,0.259174282,0.353190313,0.445451102,0.533813784,0.62372594,0.704060276,0.833766837,0.887403004,0.913986944,0.914239223,0.913372449,0.912763939,0.91274705,0.912677076,0.911939343,0.911284999
AVG DLY (ms),,0.346165242,0.348404215,0.351186813,0.352897505,0.35597881,0.364590233,0.433907076,0.479129684,7.96454249,33.11237487,265.4203859,742.3561326,1251.99944,1466.985454,1468.507786,1469.263079,1470.50616,1472.069327
MAX DLY (ms),,0.561068,0.585136,0.618183,0.705654,0.882655,1.807818,7.778569,13.19311,215.971554,466.561109,1271.51779,1474.896616,1475.225116,1475.82227,1475.63971,1476.680667,1475.5333,1477.3872
AVG QUEUE (bytes),,253.0725346,489.8256389,711.8948987,974.7010213,1239.878877,1522.722321,2116.495313,2645.045087,51869.13073,229971.9661,2143166.452,5880724.346,9700766.633,10468089.46,10474165.13,10477195.78,10480531.7,10481439.61
RECV PACKETS,,1000005,1000004,1000020,999980,1000061,999950,1000035,1000010,999991,1000010,1106715,1166832,1231643,1284323,1307216,1349934,1442672,1468864
SENT PACKETS,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
DROP PACKETS,,0,0,0,0,0,0,0,0,0,0,5487,46391,124082,279031,301370,344566,434289,465208
RECV BYTES,,529708503,529844431,529503395,529180625,529992059,530777839,529002487,529005442,528346079,529230053,585429700,618542694,652192058,681098153,693804305,714972801,764463072,777288297
SENT BYTES,,529708206,529843236,529494498,529185326,529974204,530792208,528988505,528990971,528362794,529212359,528611904,525179506,517869627,493746021,491586649,485189626,476249269,469181061
DROP BYTES,,0,0,0,0,0,0,0,0,0,0,3716974,31179485,83198144,186487508,202008639,229784704,288061249,308071142
PACKET LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0.004957916,0.03975808,0.100745102,0.21725921,0.230543384,0.255246553,0.301031004,0.316712779
BYTE LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0.006349138,0.050407976,0.127566938,0.273804161,0.291160832,0.321389434,0.376815126,0.396340898
AVG CYCLE (ms),,0.227029062,0.228677265,0.230460868,0.232304951,0.234500971,0.238934084,0.248739922,0.259957986,0.386086891,0.666341952,1.990056186,1.999893643,2,2,2,2,2,2
MAX CYCLE (ms),,0.327744,0.329272,0.335138,0.385872,0.464968,0.922008,1.613344,1.87828,2,2,2,2,2,2,2,2,2,2
CYCLES,,199730,103117,70919,51598,40588,33292,27277,23122,13131,7160,2325,2298,2268,2164,2154,2127,2089,2059
util,,0.999995,0.999996,0.99998,1.00002,0.999939004,1.000050003,0.999965001,0.99999,1.000009,0.99999,0.903574994,0.857021405,0.811923585,0.778620331,0.764984517,0.740776957,0.693158251,0.680798222
