_051520_175802_RSLT.csv,,,,,,,,,,,,,,,,,,,
TARGET LOAD,,0.050000001,0.099999994,0.149999991,0.199999988,0.249999985,0.299999982,0.349999994,0.399999976,0.449999988,0.5,0.549999952,0.599999964,0.649999976,0.699999988,0.74999994,0.799999952,0.849999964,0.899999976
SIM TIME (sec),,52.92522183,26.46742662,17.66727686,13.25565969,10.61522694,8.839948673,7.570704177,6.626681953,5.872351688,5.297546631,4.812610312,4.633213495,4.639527599,4.604466449,4.336423575,4.269623433,4.222267025,4.160027152
ONU LOAD,,0.050006856,0.100003173,0.150008928,0.199999586,0.250013352,0.299970372,0.350051428,0.399986107,0.450024025,0.500043687,0.549960926,0.600028688,0.649979882,0.699852778,0.74990914,0.799957914,0.849914187,0.899849794
OFFERED LOAD,,0.080010969,0.160005076,0.240014284,0.319999338,0.400021364,0.479952595,0.560082285,0.639977772,0.720038441,0.800069899,0.879937482,0.960045901,1.039967811,1.119764445,1.199854624,1.279932662,1.359862699,1.43975967
CARRIED LOAD,,0.080011181,0.160003768,0.240010879,0.31999502,0.400033298,0.479945507,0.560060728,0.639984201,0.720038559,0.800045662,0.879944291,0.914135537,0.914004079,0.913665843,0.912332151,0.912194861,0.912042095,0.911782035
AVG DLY (ms),,0.333618598,0.334354969,0.33586277,0.336032747,0.338581109,0.343025454,0.344693292,0.354674497,0.38269383,0.403605334,0.60368085,110.2309051,486.0104925,1137.59192,1469.922214,1470.627833,1470.854697,1471.090093
MAX DLY (ms),,0.55137,0.531469,0.56989,0.612353,0.61537,0.622211,0.6235,0.778097,0.857696,0.823968,1.442083,229.336335,777.77932,1474.857431,1477.625392,1475.889682,1477.071839,1476.827668
AVG QUEUE (bytes),,208.9289248,418.7222646,630.6838013,841.3258505,1059.755468,1288.375103,1510.176034,1774.671074,2153.992029,2522.838482,4151.106146,827050.8968,3946655.527,9259182.66,10479150.89,10479981.32,10480806.69,10481330.33
RECV PACKETS,,999997,1000021,1000003,1000019,999974,1000013,1000027,999984,1000021,1000020,999995,1050574,1137720,1217957,1228483,1288910,1351094,1414094
SENT PACKETS,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
DROP PACKETS,,0,0,0,0,0,0,0,0,0,0,0,0,0,71695,221957,284249,346530,409050
RECV BYTES,,529324788,529365327,530049851,530225290,530789695,530344538,530027162,530116144,528539869,529800950,529349525,556012203,603119920,644489727,650384735,683103811,717712929,748679915
SENT BYTES,,529326190,529360997,530042330,530218136,530805531,530336706,530006762,530121469,528539956,529784900,529353621,529423138,530068394,525867965,494532331,486841069,481360658,474129753
DROP BYTES,,0,0,0,0,0,0,0,0,0,0,0,0,0,50696399,155805837,196222837,236360884,274539264
PACKET LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058864968,0.180675679,0.220534405,0.256481044,0.289266484
BYTE LOSS RATIO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078661299,0.239559492,0.287251855,0.329325103,0.366697782
AVG CYCLE (ms),,0.214157761,0.215699613,0.21706768,0.218507066,0.220593087,0.223762533,0.226067759,0.2322577,0.246600638,0.261931302,0.370119578,1.961844206,2,2,2,2,2,2
MAX CYCLE (ms),,0.296408,0.29491,0.332764,0.371428,0.346548,0.350372,0.35368,0.396616,0.4838,0.448296,0.77416,2,2,2,2,2,2,2
CYCLES,,247131,122705,81391,60664,48121,39506,33489,28532,23813,20225,13003,2362,2320,2302,2168,2135,2111,2080
,,1.000002649,0.99999182,0.999985811,0.999986508,1.000029835,0.999985232,0.999961511,1.000010045,1.000000165,0.999969706,1.000007738,0.95217899,0.878877279,0.815944681,0.760368908,0.712689728,0.670686898,0.633287662
